survived,pclass,age,sibsp,parch,fare,who,adult_male,embark_town,alive,alone,fare_log,sex_male,embarked_Q,embarked_S,class_Second,class_Third
0,3,-0.5657364610748749,1,0,-0.5024451714361922,man,True,Southampton,no,False,2.1102132003465894,True,False,True,False,True
1,1,0.6638610320657842,1,0,0.786845293588446,woman,False,Cherbourg,yes,False,4.2805931204649,False,False,False,False,False
1,3,-0.25833708778971,0,0,-0.48885425758524853,woman,False,Southampton,yes,True,2.188856327665703,False,False,True,False,True
1,1,0.4333115021019105,1,0,0.42073023606864773,woman,False,Southampton,yes,False,3.9908341858524357,False,False,True,False,False
0,3,0.4333115021019105,0,0,-0.4863374216869256,man,True,Southampton,no,True,2.2027647577118348,True,False,True,False,True
0,3,-0.10463740114712775,0,0,-0.4781164289086438,man,True,Queenstown,no,True,2.246892662898172,True,True,False,False,True
0,1,1.8934585252064433,0,0,0.395813560675251,man,True,Southampton,no,True,3.967694202798607,True,False,True,False,False
0,3,-2.102733327500698,3,1,-0.22408312108167944,child,False,Southampton,no,False,3.0944457464900235,True,False,True,False,True
1,3,-0.18148724446841888,0,2,-0.42425614068453366,woman,False,Southampton,yes,False,2.495953738718064,False,False,True,False,True
1,2,-1.180535207645204,1,0,-0.042955502088614275,child,False,Cherbourg,yes,False,3.436268471383741,False,False,False,True,False
1,3,-1.9490336408581157,1,1,-0.312172377522981,child,False,Southampton,yes,False,2.8735646395797834,False,False,True,False,True
1,1,2.2008578984916083,0,0,-0.11384570873513637,woman,False,Southampton,yes,True,3.3160025355989236,False,False,True,False,False
0,3,-0.7194361477174569,0,0,-0.4863374216869256,man,True,Southampton,no,True,2.2027647577118348,True,False,True,False,True
0,3,0.7407108753870754,1,5,-0.018709311778530757,man,True,Southampton,no,False,3.4742929367327062,True,False,True,False,True
0,3,-1.180535207645204,0,0,-0.49027979343805866,child,False,Southampton,no,True,2.180891922715322,False,False,True,False,True
1,2,1.9703083685277347,0,0,-0.32626665855358916,woman,False,Southampton,yes,True,2.833213344056216,False,False,True,True,False
0,3,-2.102733327500698,4,1,-0.061998889229684585,child,False,Queenstown,no,False,3.405355391810819,True,True,False,False,True
1,2,-0.10463740114712775,0,0,-0.3866707201133388,man,True,Southampton,yes,True,2.6390573296152584,True,False,True,True,False
0,3,0.12591212881674596,1,0,-0.28599728418042275,woman,False,Southampton,no,False,2.9444389791664403,False,False,True,False,True
1,3,-0.10463740114712775,0,0,-0.5029485386158569,woman,False,Cherbourg,yes,True,2.1071782966514356,False,False,False,False,True
0,2,0.4333115021019105,0,0,-0.1249197866877571,man,True,Southampton,no,True,3.295836866004329,True,False,True,True,False
1,2,0.35646165878061936,0,0,-0.3866707201133388,man,True,Southampton,yes,True,2.6390573296152584,True,False,True,True,False
1,3,-1.1036853643239126,0,0,-0.4867562231804066,child,False,Queenstown,yes,True,2.2004637699272855,False,True,False,False,True
1,1,-0.10463740114712775,0,0,0.06635974158478339,man,True,Southampton,yes,True,3.597312260588446,True,False,True,False,False
0,3,-1.641634267572951,3,1,-0.22408312108167944,child,False,Southampton,no,False,3.0944457464900235,False,False,True,False,True
1,3,0.6638610320657842,1,5,-0.0164441594700401,woman,False,Southampton,yes,False,3.4777725458882283,False,False,True,False,True
0,3,-0.10463740114712775,0,0,-0.5029485386158569,man,True,Cherbourg,no,True,2.1071782966514356,True,False,False,False,True
0,1,-0.7962859910387481,3,2,4.6470010765324625,man,True,Southampton,no,False,5.575949103146316,True,False,True,False,False
1,3,-0.10463740114712775,0,0,-0.48977642625839407,woman,False,Queenstown,yes,True,2.1837114628556327,False,True,False,False,True
0,3,-0.10463740114712775,0,0,-0.48944219045109677,man,True,Southampton,no,True,2.1855792552411137,True,False,True,False,True
0,1,0.8175607187083664,0,0,-0.09027201697708476,man,True,Cherbourg,no,True,3.357621598945279,True,False,False,False,False
1,1,-0.10463740114712775,1,0,2.3017288207890005,woman,False,Cherbourg,yes,False,4.993969182787072,False,False,False,False,False
1,3,-0.10463740114712775,0,0,-0.4923778278429007,woman,False,Queenstown,yes,True,2.169053700369523,False,True,False,False,True
0,2,2.8156566450619374,0,0,-0.4370074380797968,man,True,Southampton,no,True,2.4423470353692043,True,False,True,True,False
0,1,-0.10463740114712775,1,0,1.0060617003323709,man,True,Cherbourg,no,False,4.420896324687287,True,False,False,False,False
0,1,0.971260405350949,1,0,0.39858208016340624,man,True,Southampton,no,False,3.970291913552122,True,False,True,False,False
1,3,-0.10463740114712775,0,0,-0.5028639729296732,man,True,Cherbourg,yes,True,2.1076888046179385,True,False,False,False,True
0,3,-0.6425863043961659,0,0,-0.4863374216869256,man,True,Southampton,no,True,2.2027647577118348,True,False,True,False,True
0,3,-0.8731358343600392,2,0,-0.28599728418042275,woman,False,Southampton,no,False,2.9444389791664403,False,False,True,False,True
1,3,-1.180535207645204,1,0,-0.42207354059350805,child,False,Cherbourg,yes,False,2.5048481563289,False,False,False,False,True
0,3,0.8175607187083664,1,0,-0.4576454924460446,woman,False,Southampton,no,False,2.348991465808201,False,False,True,False,True
0,2,-0.18148724446841888,1,0,-0.22559322262067316,woman,False,Southampton,no,False,3.091042453358316,False,False,True,True,False
0,3,-0.10463740114712775,0,0,-0.48944219045109677,man,True,Cherbourg,no,True,2.1855792552411137,True,False,False,False,True
1,2,-2.025883484179407,1,2,0.18876253192945996,child,False,Cherbourg,yes,False,3.7513658711253766,False,False,False,True,False
1,3,-0.7962859910387481,0,0,-0.48977642625839407,woman,False,Queenstown,yes,True,2.1837114628556327,False,True,False,False,True
0,3,-0.10463740114712775,0,0,-0.4863374216869256,man,True,Southampton,no,True,2.2027647577118348,True,False,True,False,True
0,3,-0.10463740114712775,1,0,-0.33633400214688086,man,True,Queenstown,no,False,2.803360380906535,True,True,False,False,True
1,3,-0.10463740114712775,0,0,-0.4923778278429007,woman,False,Queenstown,yes,True,2.169053700369523,False,True,False,False,True
0,3,-0.10463740114712775,2,0,-0.21191774308354577,man,True,Cherbourg,no,False,3.1214482048688246,True,False,False,False,True
0,3,-0.8731358343600392,1,0,-0.29002422161773944,woman,False,Southampton,no,False,2.9338568698359038,False,False,True,False,True
0,3,-1.7184841108942424,4,1,0.15067374417860047,child,False,Southampton,no,False,3.705920919968788,True,False,True,False,True
0,3,-0.6425863043961659,0,0,-0.49137109348357144,man,True,Southampton,no,True,2.174751721484161,True,False,True,False,True
1,1,1.5092093085999871,1,0,0.8964967865378596,woman,False,Cherbourg,yes,False,4.353230991152628,False,False,False,False,False
1,2,-0.027787557825836286,1,0,-0.1249197866877571,woman,False,Southampton,yes,False,3.295836866004329,False,False,True,True,False
0,1,2.7388068017406466,0,1,0.5995101505357574,man,True,Cherbourg,no,False,4.142804513146981,True,False,False,False,False
1,1,-0.10463740114712775,0,0,0.06635974158478339,man,True,Southampton,yes,True,3.597312260588446,True,False,True,False,False
1,2,-0.6425863043961659,0,0,-0.4370074380797968,woman,False,Southampton,yes,True,2.4423470353692043,False,False,True,True,False
0,3,-0.06621247948648201,0,0,-0.5028639729296732,man,True,Cherbourg,no,True,2.1076888046179385,True,False,False,False,True
1,2,-1.8721837975368247,1,2,-0.0896840841112365,child,False,Southampton,yes,False,3.3586377672433594,False,False,True,True,False
0,3,-1.4110847376090776,5,2,0.29589517551183186,child,False,Southampton,no,False,3.8691155044168695,True,False,True,False,True
0,3,-0.5657364610748749,0,0,-0.5028639729296732,man,True,Cherbourg,no,True,2.1076888046179385,True,False,False,False,True
1,1,0.6638610320657842,0,0,0.9623533213877359,woman,False,Southampton,yes,True,4.394449154672439,False,False,False,False,False
0,1,1.2018099353148228,1,0,1.0323213593611125,man,True,Southampton,no,False,4.436455632600354,True,False,True,False,False
0,3,-1.9490336408581157,3,2,-0.08666388103324905,child,False,Southampton,no,False,3.3638415951183864,True,False,True,False,True
0,1,-0.10463740114712775,0,0,-0.09027201697708476,man,True,Cherbourg,no,True,3.357621598945279,True,False,False,False,False
1,3,-0.10463740114712775,1,1,-0.3414522396297103,man,True,Cherbourg,yes,False,2.7878344138303452,True,False,False,False,True
1,2,-0.027787557825836286,0,0,-0.4370074380797968,woman,False,Southampton,yes,True,2.4423470353692043,False,False,True,True,False
0,3,-0.7962859910387481,0,0,-0.4841568350646187,man,True,Southampton,no,True,2.2146605719425225,True,False,True,False,True
1,3,-0.9499856776813305,4,2,-0.48885425758524853,woman,False,Southampton,yes,False,2.188856327665703,False,False,True,False,True
0,3,-0.25833708778971,2,0,-0.47400492578514347,man,True,Southampton,no,False,2.2682524139135403,True,False,True,False,True
0,2,0.2027619721380371,0,0,-0.4370074380797968,man,True,Southampton,no,True,2.4423470353692043,True,False,True,True,False
0,3,-1.0268355210026217,5,2,0.29589517551183186,woman,False,Southampton,no,False,3.8691155044168695,False,False,True,False,True
0,2,-0.6425863043961659,0,0,0.8314778546749451,man,True,Southampton,no,True,4.310799125385514,True,False,True,True,False
0,3,-0.25833708778971,1,0,-0.35739085800660947,man,True,Cherbourg,no,False,2.737880811060884,True,False,False,False,True
1,3,0.2027619721380371,0,0,0.48910360681684706,man,True,Southampton,yes,True,4.05171190165724,True,False,True,False,True
0,3,-0.3351869311110011,0,0,-0.4943912965615589,man,True,Southampton,no,True,2.157559320943788,True,False,True,False,True
0,3,-0.10463740114712775,0,0,-0.48944219045109677,man,True,Southampton,no,True,2.1855792552411137,True,False,True,False,True
0,3,-0.10463740114712775,0,0,-0.4863374216869256,man,True,Southampton,no,True,2.2027647577118348,True,False,True,False,True
1,2,-2.192647644186609,0,2,-0.0645157251280075,child,False,Southampton,yes,False,3.4011973816621555,True,False,True,True,False
1,3,0.04906228549545484,0,0,-0.39724143088629504,woman,False,Southampton,yes,True,2.600836116795061,False,False,True,False,True
0,3,-0.5657364610748749,0,0,-0.4672094688596716,man,True,Southampton,no,True,2.302585092994046,True,False,True,False,True
1,3,-0.027787557825836286,0,0,-0.45714212526638004,man,True,Southampton,yes,True,2.3513752571634776,True,False,True,False,True
1,3,-0.10463740114712775,0,0,-0.4916227770734038,woman,False,Queenstown,yes,True,2.1733302571367834,False,True,False,False,True
0,1,-0.10463740114712775,0,0,0.2999221129491485,man,True,Southampton,no,True,3.8732821771117156,True,False,True,False,False
1,2,-0.9499856776813305,0,0,-0.4370074380797968,woman,False,Southampton,yes,True,2.4423470353692043,False,False,True,True,False
1,3,0.27961181545932823,3,0,-0.32928686163157667,woman,False,Southampton,yes,False,2.8243506567983707,False,False,True,False,True
0,3,-1.0268355210026217,1,3,0.043708218499877244,man,True,Southampton,no,False,3.5660053559634015,True,False,True,False,True
